Latitude,Longitude,Food,Shop & Service,Professional & Other Places,Residence,Travel & Transport,Nightlife Spot,Outdoors & Recreation,College & University,Arts & Entertainment,Event
45.07082141713584,7.668757438659668,3.0,6.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
45.07082141713584,7.670903205871582,5.0,4.0,13.0,2.0,1.0,0.0,0.0,4.0,0.0,0.0
45.07082141713584,7.673048973083496,1.0,2.0,5.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
45.07082141713584,7.67519474029541,4.0,4.0,7.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0
45.07082141713584,7.677340507507324,13.0,4.0,8.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
45.07082141713584,7.679486274719238,8.0,9.0,3.0,3.0,5.0,1.0,1.0,0.0,0.0,0.0
45.07082141713584,7.681632041931152,15.0,8.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0
45.07082141713584,7.683777809143066,6.0,15.0,3.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0
45.07082141713584,7.6859235763549805,9.0,9.0,1.0,0.0,1.0,1.0,4.0,1.0,4.0,0.0
45.07082141713584,7.6880693435668945,1.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0
45.07082141713584,7.690215110778809,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0
45.07082141713584,7.692360877990723,3.0,3.0,4.0,5.0,2.0,0.0,1.0,2.0,1.0,0.0
45.07082141713584,7.694506645202637,5.0,8.0,6.0,2.0,1.0,3.0,0.0,3.0,2.0,0.0
45.07082141713584,7.696652412414551,6.0,4.0,7.0,4.0,2.0,3.0,0.0,2.0,2.0,0.0
45.07082141713584,7.698798179626465,5.0,7.0,3.0,9.0,0.0,2.0,2.0,0.0,2.0,0.0
45.07082141713584,7.700943946838379,6.0,3.0,5.0,6.0,1.0,3.0,1.0,0.0,0.0,0.0
45.07082141713584,7.703089714050293,7.0,6.0,1.0,5.0,2.0,1.0,2.0,1.0,1.0,0.0
45.06933015656036,7.662320137023926,0.0,2.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0
45.06933015656036,7.66446590423584,1.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0
45.06933015656036,7.666611671447754,5.0,2.0,7.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0
45.06933015656036,7.668757438659668,4.0,7.0,8.0,2.0,4.0,0.0,2.0,0.0,2.0,0.0
